"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,143.412885896272,0.429448737651683,0.934437548480219,179.479875329454,1.16636239475497,0.290037542308596,263.431075836907,0.376452269515994,309.440086080047,293.412469786531,1.23008928504487,416.315400842027,0.245365199038815,413.063873956765,327.562175340733,3.91810576393027,0.180986957850109,391.894706107344,0.475179579138512,0.18266107100294,183.538936176939,2.77307026244262,507.586440081015,0.222843088557966,375.128428438853,0.096565745797534,1.01580593530764,0.216975780536131,0.0436342726624162,1.51686210646767,1.35361410630867,0.842702633610998,363.543355098283,344.625604030223,0.765269488552121,229.407388236026,0.158349963438695,4.3968513170912,278.755025443244,421.294228833226,416.110196011254,0.245621953789623,308.201056438579,0.0324902882385913,1.9746991517892,0.2436699595346,175.558108979003,2.08816189265735,0.746172817433148,1.55133731126045
1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,310.127515942082,1.63179242310105,243.975990625843,0.0431296512892914,0.642066761995693,213.548455386646,0.850318709456133,214.615239622083,0.0336778770347337,0.617010172734126,253.309056697383,189.42341224152,318.26888587436,283.418963454323,336.703981216225,385.061586697998,315.370401664399,0.505158162177167,0.0396920251112078,0.0585714540441131,219.67465471433,0.0099897926900212,0.332049007757519,0.478654120102647,1.58940635103636,0.98844071889107,0.0175456849973443,0.713037429156088,283.889733251189,0.114128730891366,0.292600716718425,488.118510502624,377.746656407469,0.391338714910148,0.472559958670558,0.0145569210878875,437.80346115492,0.362209567512309,0.409161647463861,1.12118976937847,0.133171221791372,0.614719660092533,1.32502706374635,337.050095673092,304.86325098907,401.317148250175,0.119615418802823,256.483484919659,1.27544842119755,0.00393368301365626
0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2.30047058209163,417.785154345155,1.04974400559422,0.10968784079023,409.453132597869,1.71454844393963,0.0309292540217712,382.505761549989,263.819751704234,359.405873175962,1.21361196037492,535.894130715943,0.0706846593745922,0.0336381285540028,0.752920922045178,0.38036518920012,0.086258141682265,0.0121610745115959,2.64026971171245,236.156263916732,0.0223327501639687,0.124100838270351,2.49739626966175,368.817808563514,0.10268541209507,0.00793188977331738,0.0478913304609705,0.0584041313886701,262.559591306685,0.290824013243082,233.185806671795,394.651184916723,0.180947734930783,248.545820547832,0.0915423283834116,473.709334055893,207.489587642769,2.38827926952536,375.019929494733,565.702232876159,1.74465881075389,0.152336126843124,311.762307836157,0.987584936520875,351.264481236809,441.993709425878,0.000164900215054331,2.02613064763341,2.12282938348858,315.982430491098
1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,353.731199720386,326.543079663964,231.48469352977,0.10875949222384,115.481012858238,0.629076043854752,360.860142257835,0.428245981730925,0.78390484068666,0.545530987349593,215.783353071967,0.361479018208001,0.168009167459559,0.906949285651308,190.822170430717,243.820062666155,0.830624989817011,0.144471922009188,0.000407243421705061,174.132412723008,0.97464933568483,347.456798324948,0.243014020358032,320.340988967631,0.0121981598322236,1.00119716772315,365.466373711637,1.21564208448513,0.160615103047462,377.722171450177,5.69408184089116,417.163426857104,2.89507332042569,0.39265260759305,354.249860826955,0.150078743745098,257.864184807833,334.069316113981,1.06692977705234,368.82665214517,0.508715462621694,0.137749646487237,0.176396775746866,614.964828462569,0.681862304930974,0.047222585413806,266.997257140239,2.30289813218019,0.0510919820571871,2.63969100993575
0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.827820682015044,243.482672317579,401.43358256254,0.00697986939314887,0.207492405864514,0.0821775695146698,181.83366809603,0.39364917799719,201.079796557512,226.50906345993,289.256701253495,241.825226462327,0.503360275886735,3.06793325387559,228.128213041694,266.014060072739,2.8790319990062,0.63950708033633,394.852780772814,0.800523274962075,304.513507082648,377.388982311101,0.0835402447052047,3.5150236030845,3.24326829983852,372.229568868331,472.468491159838,168.52252219757,8.60613904515071,483.73351787573,1.67916657987246,0.235291608780244,1.06532182468811,0.0215155469502406,0.109409326262949,445.615187931505,0.588313949479698,281.507449701496,1.12058126763623,0.424077584564884,375.912816531908,1.05258660262677,410.125245303387,0.00981035118752516,4.35886094004616,0.227330080814681,1.44250818581918,0.00237944253649403,2.3219514559969e-06,0.57259807821049
0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1.43558950255533,287.945648559945,289.428522598659,0.520519805769595,0.377383175681985,0.0193550994465568,280.015008143926,235.566395618522,0.00115109265800584,189.422592854363,0.0565764819426704,0.565322143929052,0.220740221266738,197.412226884142,0.38978055565417,0.261037120931178,0.0240572378384059,259.757504385569,0.206348376341111,2.9107183762867,180.424362988674,310.029998665512,0.000627912426125476,2.10670512588126,327.629619027085,1.00867111252262,469.862051693578,0.00756312925682323,1.50985336178189,583.200630722765,0.0195363427512802,0.547326625251685,349.961640240641,259.333164057705,1.84168254828785,247.293181799107,5.09209990013915e-05,0.653125857121495,0.990737845862213,0.035788595574445,2.78849407578923,0.166661412912163,2.20727914861016,400.702905466497,336.470231796971,345.516914739502,4.0036390068426,1.28444779706513,254.150947863463,216.388774796751
0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0.670239812897535,242.539852645214,201.872381124086,0.306136440791988,1.21477410208183,285.328310645579,0.08185774801359,439.591841519817,0.477003061952928,0.726491907203126,0.0704463124765198,245.19745009007,0.410369633436403,2.18222305647942e-06,333.449052597666,298.275038588158,0.292554227572055,0.103454240240126,315.711649909927,402.483864713831,3.17538444791455,296.727683272546,0.563988442944265,236.320481517229,0.148280661413992,236.698113591851,0.476574551807971,269.939487184356,0.673813899420338,1.09031886569585,260.684599529331,6.26498067534374,0.316236450243423,0.00153944714065801,0.160670884659112,1.40390959821207,0.539337150974575,2.28663777166105,371.028331242644,1.64402968917875,0.511430298277105,325.430094569227,388.118138010598,270.357789080201,1.78352894239276,0.189977959427893,0.847343644364173,327.438958533298,1.49844249214902,309.769866151999
1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,367.581606082335,4.43976354578433,385.586635098266,247.372969011217,0.153143066686653,373.500432881401,360.18715766059,0.0591778089187756,418.812394408455,0.550371964911392,303.743922549006,411.806500506514,0.204456266390935,0.336285962489569,192.215624986059,0.0669642102884609,0.301404035132464,0.95951037802638,169.246334041909,0.379852384298601,0.25921274916891,307.753235732468,0.24896944960085,0.160310413495949,2.07618113757917,0.17612637537195,2.69647380440733,0.269073559624076,176.377308413923,0.508334497748024,423.29194374417,290.812343470277,0.979244548702354,269.177600333759,201.401588434866,0.044112034942259,0.0894029232188132,0.0802387027226814,396.725910417149,310.433031569487,0.502457382050125,343.811788734491,0.0357564520098776,0.0292590933752308,0.0392781198154353,5.40627593087061,384.810851552258,1.93299591356754,0.0128933408735747,0.267069493861413
1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,445.094861074248,167.044820415429,180.137978824536,0.155850723577828,0.654695327252398,280.682124165283,0.31645387150661,0.298910847240222,1.47500290281357,0.00104121876790941,0.0850715429162392,443.169653685773,0.270079114913756,429.847232450832,0.400398584729373,377.812188891692,0.96923668033935,339.576566806399,348.902393589967,0.0250861658601025,0.0993509170975813,178.627127118935,0.512836064536032,355.775024915846,0.678841164779215,224.238692333775,2.58402644363935,222.177122655873,0.275549293658287,288.750703235677,5.32538295566201,0.0490005650392504,1.14238711422013,1.44736788841385,290.761594384821,1.29699143207245,392.573110702619,0.229399572000489,0.627913245412401,368.958415212099,0.495437073145013,2.77253128190489,173.416700746179,380.598503641429,454.647657546857,0.00954797045960731,0.0813876452360773,0.186925008969069,2.02861593858677,1.54794519083237
0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0.148320407509004,0.00139260816945352,0.52650001551649,0.156536334925704,0.000770318271406722,192.705205075465,187.277223962148,460.208832357658,224.95800199661,160.764631776069,0.622541762973015,466.27021585565,199.394544514191,4.70897663468577,368.128360982256,0.330710841780956,0.0227065454153035,2.71152166507045,281.040352615254,4.22657932453228,0.0942021009409473,0.606491606068744,0.707214796447715,324.502116776221,0.621528782489804,1.33392835998097,2.17147271346266,1.68806721966621,0.0405170695978541,0.623000630739398,365.867383412552,0.844248576973541,372.778115977149,297.44888036285,6.72920918447426,0.932117559058952,0.00442176425326579,0.857706712494519,353.407342486277,409.095200193236,2.02509192406967,241.200623201558,271.436835975061,0.0785592165449316,1.61024973068186,660.047718259517,1.30181440013178,332.883204185248,0.490707875352086,167.288380171193
