"","size(|D|=1)","size(|D|=3)","size(|D|=5)","power(|D|=1)","power(|D|=3)","power(|D|=5)"
"(H,C,m=200,n=1000)",0.053,0.058,0.058,1,1,1
"(H,C,m=200,n=500)",0.063,0.075,0.076,1,1,1
"(H,C,m=200,n=200)",0.088,0.08,0.101,1,1,1
"(H,D,m=200,n=1000)",0.055,0.06,0.059,1,1,1
"(H,D,m=200,n=500)",0.067,0.081,0.072,1,1,1
"(H,D,m=200,n=200)",0.084,0.098,0.104,1,1,1
