"","size(|D|=1)","size(|D|=3)","size(|D|=5)","power(|D|=1)","power(|D|=3)","power(|D|=5)"
"(R,C,n=500)",0.038,0.037,0.026,1,1,1
"(R,C,n=400)",0.033,0.031,0.028,1,1,1
"(R,C,n=300)",0.033,0.025,0.03,1,1,1
"(R,D,n=500)",0.04,0.029,0.027,1,1,1
"(R,D,n=400)",0.042,0.034,0.04,1,1,1
"(R,D,n=300)",0.028,0.033,0.034,1,1,1
