"","size(|D|=1)","size(|D|=3)","size(|D|=5)","power(|D|=1)","power(|D|=3)","power(|D|=5)"
"(H,C,n=500)",0.028,0.026,0.029,1,1,1
"(H,C,n=400)",0.043,0.038,0.035,1,1,1
"(H,C,n=300)",0.037,0.03,0.034,1,1,1
"(H,D,n=500)",0.036,0.04,0.027,1,1,1
"(H,D,n=400)",0.051,0.04,0.04,1,1,1
"(H,D,n=300)",0.052,0.041,0.035,1,1,1
